author,binding,category,depth,height,isbn10,isbn13,language,noOfPages,price,publisher,publisherDate,returnable,subTitle,title,url,weight,width
 Ruskin Bond, Paperback,Home::Literature & literary studies::Literature: history & criticism::Children's literature studies: general,, 198 mm, 9353041511, 9789353041519, English, 128,₹117, Rupa & Co, 20 Aug 2018, N,,THE GREAT TRAIN JOURNEY,https://www.bookswagon.com/book/great-train-journey-ruskin-bond/9789353041519, 131 gr, 129 mm
Cixin Liu, Paperback,Home::Fiction::Science fiction, 33, 130 mm, 178497157X, 9781784971571, English, 416,₹395, Head of Zeus, 03 Dec 2015, Y,,The Three-Body Problem,https://www.bookswagon.com/book/threebody-problem-cixin-ken-liu/9781784971571, 308 gr, 196 mm
Nita Prose, Paperback,Home::Fiction::Modern & contemporary fiction,, 198 mm, 0008539049, 9780008539047, English, 352,₹293, HarperCollins, 20 Jan 2022,,,"The Maid: The hotly-anticipated debut for 2022, perfect in mystery books to pre-order",https://www.bookswagon.com/book/maid-prose-nita/9780008539047, 270 gr, 22 mm
H G WELLS, PAPERBACK,Home::Children & Teens::Children’s & young adult general non-fiction::History & the past: general interest (children’s/ya),, 197 mm, 8175993197, 9788175993198, ENGLISH, 472,₹269, Fingerprint! Publishing, October'2015, Y,,A Short History Of The World,https://www.bookswagon.com/book/short-history-world-h-g/9788175993198, 700 gr, 127 mm
Mark Douglas, HARDBACK,Home::Business & Economics::Finance & accounting::Finance::Investment & securities, 25, 235 mm, 0735201447, 9780735201446, ENGLISH, 240,"₹3,112",, 01 Jan 2001, Y," Master the Market With Confidence, Discipline and a Winning Attitude",Trading in the Zone,https://www.bookswagon.com/book/trading-in-zone-mark-douglas/9780735201446, 544 gr, 158 mm
Stephen King, Paperback,Home::Fiction::Horror & ghost stories, 34, 197 mm, 1444720724, 9781444720723, English, 512,₹413, Hodder & Stoughton General Division, 10 Nov 2011, Y,,The Shining,https://www.bookswagon.com/book/shining-stephen-king/9781444720723, 354 gr, 129 mm
Wonder House Books, Board book,Home::Children & Teens,,, 9354401430, 9789354401435, English, 10,₹77, Wonder House Books, 24 Nov 2021,,,My First Shaped Board Book: Illustrated Lord Ganesha Hindu Mythology Picture Book for Kids Age 2+ (Indian Gods and Goddesses),https://www.bookswagon.com/book/my-first-shaped-board-book/9789354401435,, 165 mm
Rhonda Byrne, Hardback,"Home::Parenting, Family & Health::Body, Mind & Spirit::Mind, body, spirit: thought & practice", 24, 147 mm, 1847370292, 9781847370297, ENGLISH, 216,₹579, Simon & Schuster Ltd, 04 Dec 2006, N,,The Secret,https://www.bookswagon.com/book/secret-rhonda-byrne/9781847370297, 700 gr, 185 mm
Wonder House Books, Box Set,"Home::Children & Teens::Picture books,  activity books & early learning material::Early learning / early learning concepts",, 1.7 mm, 9388144619, 9789388144612, English, 192,₹461, Wonder House Books, 05 Sep 2018, Y," Pack of 4 Interactive Activity Books to Practice Patterns, Numbers and Alphabet","My First Super Boxset of Pencil Control and Patterns : Pack of 4 interactive activity books to practice Patterns, Numbers and Alphabet",https://www.bookswagon.com/book/my-first-super-boxset-pencil/9789388144612, 830 gr, 22.0 mm
Peter Sykes, Paperback,Home::General,,, 8131793559, 9788131793558, English, 660,₹385, Pearson Education, 2013,,,A Guidebook to Mechanism in Organic Chemistry for the JEE,https://www.bookswagon.com/book/guidebook-mechanism-in-organic-chemistry/9788131793558, 634 gr,
E. Lockhart, Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Romance & relationships stories (children’s/ya), 19, 200 mm, 147140398X, 9781471403989, English, 240,₹259, Hot Key Books, 13 May 2014, Y,,We Were Liars,https://www.bookswagon.com/book/we-were-liars-e-lockhart/9781471403989, 194 gr, 129 mm
B. Uma Maheswari|R. Sujatha, Paperback,Home::General,, 100 mm, 9354640508, 9789354640506, English,,₹576, Wiley, 01 Oct 2021,,,Introduction to Data Science: Practical Approach with R and Python,https://www.bookswagon.com/book/introduction-data-science-b-uma/9789354640506,, 100 mm
William J. Long, Paperback,Home::Literature & literary studies::Literature: history & criticism::Literary studies: general,, 216 mm, 812913540X, 9788129135407, English, 654,₹296, Rupa Publications India, 04 Oct 2015, N, Its History And Its Significance For The Life Of The Englishspeaking World,English Literature,https://www.bookswagon.com/book/english-literature-j-william-j/9788129135407, 815 gr, 140 mm
David Epstein , Paperback,"Home::Society & social sciences::Psychology::Social, group or collective psychology",, 197 mm, 1509843523, 9781509843527,, 368,₹419, Pan MacMillan, 01 Oct 2020,,,Range,https://www.bookswagon.com/book/range-david-epstein/9781509843527, 262 gr, 130 mm
Yadvinder Singh Sandhu, Paper Back,Home::General,,, 9353224721, 9789353224721, Hindi, 344,₹310, Prabhat Prakashan, 2019,,,Bhagat Singh Jail Diary,https://www.bookswagon.com/book/bhagat-singh-jail-diary-yadvinder/9789353224721,,
John Boyne, Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Historical fiction (children’s/ya),, 188 mm, 0099572869, 9780099572862,, 256,₹299, Vintage Publishing, 01 Aug 2012, Y,,The Boy in the Striped Pyjamas,https://www.bookswagon.com/book/boy-in-striped-pyjamas-john/9780099572862, 172 gr, 130 mm
Gege Akutami, Paperback,Home::Fiction::Graphic novels::Graphic novels: manga,, 192 mm, 1974722848, 9781974722846, English, 192,₹548, Viz Media, 03 Aug 2021, Y,,"Jujutsu Kaisen, Vol. 11",https://www.bookswagon.com/book/jujutsu-kaisen-vol-11-gege/9781974722846, 180 gr, 131 mm
Dr. Joe Dispenza, Paperback,Home::General,,, 9381431264, 9789381431269, English, 256,₹425, Hay House, 06 Jan 2012,,,"Breaking the Habit of being yourself: How
to Lose Your Mind and Create a New One",https://www.bookswagon.com/book/breaking-habit-being-yourself-dr/9789381431269,,
Mark Wolynn, Paperback,Home::Medicine::Other branches of medicine::Clinical psychology::Psychotherapy, 20, 211 mm, 1101980389, 9781101980385, English, 256,₹827, Penguin Books, 25 Apr 2017, Y, How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,It Didn't Start with You,https://www.bookswagon.com/book/it-didnt-start-you-mark/9781101980385, 236 gr, 137 mm
Adrian Newey, Hardback,Home::Biographies & Memoirs::Biography: general::Biography: sport::Autobiography: sport,, 195 mm, 000819680X, 9780008196806,, 400,₹974, HarperCollins Publishers, 02 Nov 2017, N,,How to Build a Car,https://www.bookswagon.com/book/how-build-a-car-adrian/9780008196806, 1278 gr, 244 mm
Lisa Jewell, Paperback,Home::Fiction::Crime & mystery,, 203 mm, 1787461483, 9781787461482,, 480,₹396, Cornerstone, 12 Dec 2019,,,The Family Upstairs,https://www.bookswagon.com/book/family-upstairs-lisa-jewell/9781787461482, 322 gr, 128 mm
Ryan Holiday, Hard Cover,Home::Business & Economics::Business & management::Management & management techniques::Management decision making,, 182 mm, 1788162056, 9781788162050, English, 288,₹468, Profile Books Ltd, 10 Oct 2019,,,Stillness Is The key: An Ancient Strategy For Modern Life,https://www.bookswagon.com/book/stillness-key-ryan-holiday/9781788162050, 386 gr, 136 mm
"Maas, Sarah J.", Paperback,Home::General,,, 152664116X, 9781526641168, English, 448,₹425, Bloomsbury Publishing, 16 Feb 2021,,,A Court of Thorns and Roses,https://www.bookswagon.com/book/court-thorns-roses-maas-sarah/9781526641168,,
Rohit Dawesar, Paperback,Home::General,, 2.5 mm, 9390391067, 9789390391066, English, 312,₹207, Fingerprint! Publishing, 01 Nov 2020,,,No Matter What . . . I will always love you!,https://www.bookswagon.com/book/no-matter-i-always-love/9789390391066, 700 gr, 19.7 mm
Geronimo Stilton, Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Adventure stories (children’s/ya), 6, 191 mm, 054510369X, 9780545103695, English, 128,₹231, Scholastic Paperbacks, 01 Jan 2010, Y,,Karate Mouse (Geronimo Stilton #40),https://www.bookswagon.com/book/karate-mouse-geronimo-stilton-40/9780545103695, 181 gr, 132 mm
Dr. Gajendra Purohit, Paperback,Home::General,,, 9390767733, 9789390767731, English, 400,₹395, Invincible Publishers, 28 Dec 2021,,,IIT JAM Mathematics 2022 - By Dr. Gajendra Purohit,https://www.bookswagon.com/book/iit-jam-mathematics-2022-by/9789390767731,, 190 mm
Wonder House Books, Board book,"Home::Children & Teens::Picture books,  activity books & early learning material::Early learning / early learning concepts::Early learning: abc books / alphabet books",, 24 mm, 935440104X, 9789354401046, English, 16,₹332, Wonder House Books, 12 Aug 2021, Y, Capital and Small Letters,My Big Wipe And Clean Book of Alphabet for Kids : Capital And Small Letters,https://www.bookswagon.com/book/my-big-wipe-clean-book/9789354401046,, 225 mm
Wonder House Books, Paperback,Home::General,, 0.4 mm, 9389567254, 9789389567250, English, 32,₹119, Wonder House Books, 14 Oct 2019,,,Make It Sparkle - Sticker Book For Kids (Shimmer And Shine),https://www.bookswagon.com/book/make-it-sparkle-sticker-book/9789389567250, 105 gr, 21.5 mm
Kevin Missal, Paperback,Home::Fiction::Fantasy,, 3.0 mm, 9388369157, 9789388369152, English, 464,₹269, Fingerprint! Publishing, 10 Nov 2018, Y," Eye of Brahma, Book 2",Satyayoddha Kalki: Eye of Brahma (Book 2),https://www.bookswagon.com/book/satyayoddha-kalki-kevin-missal/9789388369152, 294 gr, 13.0 mm
Munshi Premchand, Paperback,Home::General,, 2.3 mm, 9389053838, 9789389053838, Hindi, 376,₹119, Fingerprint! Publishing, 01 Jun 2019,,,Karmabhoomi (Hindi),https://www.bookswagon.com/book/karmabhoomi-hindi-munshi-premchand/9789389053838, 700 gr, 12.6 mm
George R. R. Martin, Paperback,Home::Fiction::Fantasy, 47, 197 mm, 0007448031, 9780007448036, English, 864,₹454, HarperCollins Publishers, 01 Sep 2011, Y,,A Game of Thrones (Reissue),https://www.bookswagon.com/book/game-thrones-reissue-r-george/9780007448036, 540 gr, 140 mm
Wonder House Books, Wall Chart,Home::General,, 0.1 mm, 9390391180, 9789390391189, English, 1,₹105, Wonder House Books, 12 Oct 2020,,,"Wild Animals - My First Early Learning Wall Chart: For Preschool, Kindergarten, Nursery And Homeschooling (19 Inches X 29 Inches)",https://www.bookswagon.com/book/wild-animals-my-first-early/9789390391189, 90 gr, 48.3 mm
Yogendra, Paperback,"Home::Parenting, Family & Health::Family & health",, 203 mm, 0143456431, 9780143456438, English, 256,₹239, Penguin Random House India Pvt. Ltd, 08 Aug 2023, Y,,7 Rules to Reset Your Mind and Body for Greater Well-Being,https://www.bookswagon.com/book/7-rules-reset-your-mind/9780143456438, 304 gr, 127 mm
Peppa Pig, Hardcover,Home::General,, 310 mm, 0241487129, 9780241487129, English, 24,₹551, Ladybird, 25 Nov 2021,,,Peppa Pig: Peppa's Talent Show,https://www.bookswagon.com/book/peppa-pig-peppa-pig/9780241487129, 610 gr, 17 mm
Rashi Bansal, Paperback,Home::Society & social sciences::Education::Study & learning skills: general,, 254 mm, 9325796694, 9789325796690, English, 98,"₹1,736", Arihant Publications, 30 Nov 2021, N,,CBSE Term II Information Technology 10th,https://www.bookswagon.com/book/cbse-term-ii-information-technology/9789325796690, 213 gr, 203 mm
R.S. Khurmi, Paperback,Home::Technology & Engineering::Mechanical engineering & materials::Mechanical engineering::Tribology (friction & lubrication),, 240 mm, 8121906288, 9788121906289, English, 536,₹566, S Chand & Co Ltd, 01 Mar 2005,,,Mechanical Engineering,https://www.bookswagon.com/book/mechanical-engineering-rs-khurmi/9788121906289,,
M K Pandey, Paperback,"Home::History & Humanities::Philosophy::History of western philosophy::Western philosophy, from c 1900 -",,, 8190458914, 9788190458917, English,,₹318, Bsc,,,,Analytical Reasoning,https://www.bookswagon.com/book/analytical-reasoning-m-k-pandey/9788190458917,,
Dreamland Publications, PaperBack,Home::Children & Teens,, 220 mm, 9388371755, 9789388371759, English, 80,₹231, Dreamland Publications, 2019,,,365 Facts on Space,https://www.bookswagon.com/book/365-facts-space-dreamland-publications/9789388371759, 200 gr, 280 mm
H L Ahuja , Paperback,Home::Business & Economics::Economics,, 39.99992 mm, 9352837339, 9789352837335, English, 1368,₹620, Eastern Book Co. (EBC), 01 Jan 2019,,,Advanced Economic Theory,https://www.bookswagon.com/book/advanced-economic-theory-h-l/9789352837335,, 139.99972 mm
Tana Hoban, Board book,"Home::Children & Teens::Picture books,  activity books & early learning material::Early learning / early learning concepts::Early learning: abc books / alphabet books", 13, 159 mm, 0061172111, 9780061172113, English, 16,₹358, Greenwillow Books, 02 Jan 2007, Y, A High Contrast Book for Newborns,Black & White Board Book,https://www.bookswagon.com/book/black-white-board-book-tana/9780061172113, 120 gr, 160 mm
Helen Joseph Armstrong, Paperback,Home::General,,, 9332518114, 9789332518117, English, 920,"₹1,055", Pearson Education, 2013,,,Patternmaking for Fashion Design,https://www.bookswagon.com/book/patternmaking-fashion-design-helen-joseph/9789332518117, 3091 gr,
Holly Jackson, Paperback,Home::General,, 198 mm, 140529860X, 9781405298605, English, 576,₹324, Electric Monkey, 20 Oct 2021,,,As Good As Dead,https://www.bookswagon.com/book/good-as-dead-jackson-holly/9781405298605, 384 gr, 198 mm
"Sood, Vikram", Hardcover,Home::General,, 39.99992 mm, 0670091502, 9780670091508, English, 304,₹425, Penguin Viking, 13 Jul 2018,,,The Unending Game: A Former R&AW Chief Insights into Espionage,https://www.bookswagon.com/book/unending-game-sood-vikram/9780670091508, 299.9999997 gr, 139.99972 mm
"Garcia, Hector|Francesc Miralles", Hardcover,Home::General,, 190 mm, 0804855331, 9780804855334, English, 224,₹396, Tuttle Publishing, 30 Oct 2021,,,The Ikigai Journey: A Practical Guide to Finding Happiness and Purpose Japanese Way: (SEQUEL TO Ikigai: The Japanese secret to a long and happy life),https://www.bookswagon.com/book/ikigai-journey-garcia-hectorfrancesc-miralles/9780804855334,,
TIFO, Hardback,Home::General,, 152 mm, 0241609372, 9780241609378, English, 224,₹489, Penguin Books Ltd, 17 Nov 2022, Y," 52 Rules for Understanding the Beautiful Game, on and Off the Pitch",How to Watch Football,https://www.bookswagon.com/book/how-watch-footballtifo-athletic/9780241609378, 385 gr, 150 mm
Jeff Kinney , Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Family & home stories (children’s/ya),, 198 mm, 0241454131, 9780241454138, English, 224,₹269, Puffin, 30 Sep 2021,,,Diary of a Wimpy Kid: The Deep End (Book 15),https://www.bookswagon.com/book/diary-wimpy-kid-kinney-jeff/9780241454138, 164 gr, 198 mm
 Karl Marx, Paperback,Home::Children & Teens::Children’s & young adult general non-fiction,, 0.8 mm, 9386538253, 9789386538253, English, 96,₹77, Fingerprint! Publishing, 01 Dec 2017, Y,,The Communist Manifesto,https://www.bookswagon.com/book/communist-manifesto-karl-marx-friedrich/9789386538253, 110 gr, 14.0 mm
Dreamland Publications, Paperback,Home::General,,, 9386671611, 9789386671615, English, 448,"₹1,137", Dreamland Publications, 01 Sep 2021,,,Children Encyclopedia Books Pack  for Age 5 - 15 Years- All About Trivia Questions and Answers,https://www.bookswagon.com/book/children-encyclopedia-books-pack-age/9789386671615, 2000 gr, 280 mm
Dreamland Publications, Paperback,Home::General,,, 8195163203, 9788195163205, English, 10,₹120, Dreamland Publications, 2021,,,Flap Book- In the Jungle,https://www.bookswagon.com/book/flap-book-in-jungle-dreamland/9788195163205,, 0.3 mm
Dr APJ Abdul Kalam, Paperback,Home::General,,, 9350487977, 9789350487976, Hindi, 144,₹207, Prabhat Prakashan, 2014,,,Meri Jeevan Yatra,https://www.bookswagon.com/book/meri-jeevan-yatra-dr-apj/9789350487976,,
Au, Paperback,"Home::Parenting, Family & Health::Self Help & Personal Development::Popular psychology", 22, 197 mm, 0340750154, 9780340750155, ENGLISH, 288,₹349, Hodder & Stoughton General Division, 08 Nov 1999, Y,,The Art of Happiness,https://www.bookswagon.com/book/art-happiness-au-xiv-howard/9780340750155, 204 gr, 128 mm
Sudha Murty, Hardback,Home::Children & Teens::Children’s & young adult fiction & true stories,, 191 mm, 9353575885, 9789353575885, English, 104,₹228, HarperCollins, 16 Feb 2021, Y,,Gopi Diaries: Coming Home,https://www.bookswagon.com/book/gopi-diaries-sudha-murty/9789353575885, 294 gr, 142 mm
M.H. Heim, Paperback,Home::Fiction::Modern & contemporary fiction, 24, 197 mm, 0571135390, 9780571135394,, 320,₹364, Faber & Faber, 29 Apr 1985, Y,,The Unbearable Lightness of Being,https://www.bookswagon.com/book/unbearable-lightness-being-mh-milan/9780571135394, 260 gr, 140 mm
Chitra Banerjee Divakaruni, Paperback,Home::Fiction::Myth & legend told as fiction,, 215 mm, 9353573572, 9789353573577, English, 372,₹364, Harper Collins, 24 Aug 2021, Y,,Forest of Enchantments,https://www.bookswagon.com/book/forest-enchantments-chitra-banerjee-divakaruni/9789353573577, 358 gr, 141 mm
